Time	Value	Type
0	0.49968646108863907	IV
0.2	0.43024874221517434	IV
0.4	0.3660095976381897	IV
0.6000000000000001	0.2776057392771886	IV
0.8	0.22854276625328607	IV
1	0.18536880773118827	IV
2	0.06631699619717102	IV
3.5	0.015500113377016643	IV
5	0.00353935332139354	IV
6.5	7.003029948294887e-4	IV
8	1.5978152332103338e-4	IV
9.5	3.332877990961816e-5	IV
1.4000000000000001	0.11228275350394433	IV
0	0	PO
0.2	0.08671284362665793	PO
0.4	0.14843178522783262	PO
0.6000000000000001	0.1892724668125328	PO
0.8	0.22620922593725484	PO
1	0.2379362245885447	PO
2	0.2256515056313667	PO
3.5	0.14506837875223014	PO
5	0.07437464666728262	PO
6.5	0.038931899678462174	PO
8	0.018480690163356038	PO
9.5	0.008691916869146577	PO
1.4000000000000001	0.26180918091223265	PO
