Time	Value	Type
0	0.5	IV
0.1	0.45241870901797976	IV
0.2	0.4093653765389909	IV
0.30000000000000004	0.37040911034085894	IV
0.4	0.33516002301781966	IV
0.5	0.3032653298563167	IV
0.6000000000000001	0.2744058180470132	IV
0.7000000000000001	0.24829265189570474	IV
0.8	0.22466448205861078	IV
0.9	0.20328482987029955	IV
1	0.18393972058572117	IV
1.1	0.16643554184903978	IV
1.2000000000000002	0.150597105956101	IV
1.3	0.1362658965170063	IV
1.4000000000000001	0.12329848197080322	IV
1.5	0.11156508007421491	IV
1.6	0.10094825899732769	IV
1.7000000000000002	0.0913417620263673	IV
1.8	0.08264944411079327	IV
1.9000000000000001	0.07478430961131752	IV
2	0.06766764161830635	IV
2.1	0.06122821412649095	IV
2.2	0.055401579181166935	IV
2.3000000000000003	0.05012942186140185	IV
2.4000000000000004	0.045358976644706235	IV
2.5	0.0410424993119494	IV
2.6	0.03713678910716694	IV
2.7	0.03360275636987488	IV
2.8000000000000003	0.030405031312608976	IV
2.9000000000000004	0.027511610028203605	IV
3	0.024893534183931972	IV
3.1	0.0225246011967789	IV
3.2	0.020381101989183106	IV
3.3000000000000003	0.018441583700619997	IV
3.4000000000000004	0.016686634980163033	IV
3.5	0.01509869171115925	IV
3.6	0.01366186122364628	IV
3.7	0.012361763235169694	IV
3.8000000000000003	0.011185385928082795	IV
3.9000000000000004	0.01012095572290219	IV
4	0.00915781944436709	IV
4.1000000000000005	0.008286337700880619	IV
4.2	0.007497788410238852	IV
4.3	0.006784279506100467	IV
4.4	0.006138669951534218	IV
4.5	0.005554498269121153	IV
4.6000000000000005	0.005025917872316788	IV
4.7	0.004547638550847908	IV
4.800000000000001	0.004114873524510012	IV
4.9	0.003723291535462169	IV
5	0.0033689734995427335	IV
5.1000000000000005	0.0030483732827578163	IV
5.2	0.0027582822103803858	IV
5.300000000000001	0.0024957969534551063	IV
5.4	0.002258290471306333	IV
5.5	0.0020433857192320333	IV
5.6000000000000005	0.0018489318582414645	IV
5.7	0.001672982728735636	IV
5.800000000000001	0.0015137773726879064	IV
5.9	0.0013697224093841842	IV
6	0.0012393760883331792	IV
6.1000000000000005	0.0011214338597429006	IV
6.2	0.001014715318147867	IV
6.300000000000001	9.181523885144528e-4	IV
6.4	8.30778636586967e-4	IV
6.5	7.517195964887862e-4	IV
6.6000000000000005	6.801840187739464e-4	IV
6.7	6.154559513367405e-4	IV
6.800000000000001	5.568875739224012e-4	IV
6.9	5.038927145242552e-4	IV
7	4.559409827772581e-4	IV
7.1000000000000005	4.125524616329519e-4	IV
7.2	3.732929041883396e-4	IV
7.300000000000001	3.3776938759692187e-4	IV
7.4	3.0562638056478615e-4	IV
7.5	2.765421850739168e-4	IV
7.6000000000000005	2.502257167203052e-4	IV
7.7	2.2641359144339848e-4	IV
7.800000000000001	2.0486748948989321e-4	IV
7.9	1.853717702295441e-4	IV
8	1.6773131395125593e-4	IV
8.1	1.517695690394334e-4	IV
8.200000000000001	1.3732678498607102e-4	IV
8.3	1.2425841355397592e-4	IV
8.4	1.124336620894241e-4	IV
8.5	1.0173418450532208e-4	IV
8.6	9.20528968337896e-5	IV
8.700000000000001	8.329290549381662e-5	IV
8.8	7.536653754773825e-5	IV
8.9	6.81944632410057e-5	IV
9	6.170490204333978e-5	IV
9.1	5.583290424505739e-5	IV
9.200000000000001	5.051970091854662e-5	IV
9.3	4.5712115739086635e-5	IV
9.4	4.1362032778316114e-5	IV
9.5	3.74259149438503e-5	IV
9.600000000000001	3.386436824542689e-5	IV
9.700000000000001	3.064174752661101e-5	IV
9.8	2.7725799716088473e-5	IV
9.9	2.508734102808764e-5	IV
10	2.2699964881242427e-5	IV
0	0	PO
0.1	0.0463920064647545	PO
0.2	0.0861066649579777	PO
0.30000000000000004	0.11988975574333993	PO
0.4	0.1484107070423425	PO
0.5	0.17227012335877145	PO
0.6000000000000001	0.1920065845876915	PO
0.7000000000000001	0.20810278592730397	PO
0.8	0.22099108191841776	PO
0.9	0.23105849188117422	PO
1	0.2386512185411911	PO
1.1	0.2440787266824071	PO
1.2000000000000002	0.24761742418182436	PO
1.3	0.24951398372700345	PO
1.4000000000000001	0.24998833984980304	PO
1.5	0.24923639259258487	PO
1.6	0.24743244612256618	PO
1.7000000000000002	0.24473140789599204	PO
1.8	0.24127077151901258	PO
1.9000000000000001	0.23717240423186614	PO
2	0.23254415793482963	PO
2.1	0.2274813208581734	PO
2.2	0.22206792533574568	PO
2.3000000000000003	0.21637792565624947	PO
2.4000000000000004	0.21047625862278957	PO
2.5	0.2044197982362913	PO
2.6	0.1982582148196787	PO
2.7	0.19203474790614175	PO
2.8000000000000003	0.18578690131638848	PO
2.9000000000000004	0.1795470680373904	PO
3	0.17334309178056587	PO
3.1	0.16719877143318523	PO
3.2	0.16113431401628917	PO
3.3000000000000003	0.15516674121951407	PO
3.4000000000000004	0.14931025409240856	PO
3.5	0.14357656002812663	PO
3.6	0.13797516577429397	PO
3.7	0.13251363984328823	PO
3.8000000000000003	0.12719784736646944	PO
3.9000000000000004	0.12203216014070915	PO
4	0.11701964434787852	PO
4.1000000000000005	0.11216222818604293	PO
4.2	0.1074608514325042	PO
4.3	0.10291559876129604	PO
4.4	0.09852581845926543	PO
4.5	0.09429022802362202	PO
4.6000000000000005	0.09020700797817013	PO
4.7	0.0862738851138538	PO
4.800000000000001	0.08248820624039245	PO
4.9	0.07884700342844615	PO
5	0.07534705162481334	PO
5.1000000000000005	0.07198491943563749	PO
5.2	0.0687570137935731	PO
5.300000000000001	0.06565961915351935	PO
5.4	0.0626889317971371	PO
5.5	0.059841089768243504	PO
5.6000000000000005	0.05711219890873502	PO
5.7	0.05449835541736718	PO
5.800000000000001	0.0519956653110314	PO
5.9	0.049600261129664015	PO
6	0.04730831619119759	PO
6.1000000000000005	0.04511605667165511	PO
6.2	0.043019771757262064	PO
6.300000000000001	0.04101582209001126	PO
6.4	0.039100646705192275	PO
6.5	0.037270768638744435	PO
6.6000000000000005	0.0355227993636921	PO
6.7	0.033853442198171546	PO
6.800000000000001	0.03225949481248126	PO
6.9	0.03073785094901943	PO
7	0.029285501456763986	PO
7.1000000000000005	0.027899534730973518	PO
7.2	0.02657713663891588	PO
7.300000000000001	0.02531559000356149	PO
7.4	0.024112273709209816	PO
7.5	0.022964661485861272	PO
7.6000000000000005	0.021870320422724982	PO
7.7	0.020826909255490373	PO
7.800000000000001	0.019832176466824593	PO
7.9	0.018883958234927833	PO
8	0.017980176260831666	PO
8.1	0.01711883550141465	PO
8.200000000000001	0.016298021831789095	PO
8.3	0.015515899657746534	PO
8.4	0.014770709496298854	PO
8.5	0.01406076553998861	PO
8.6	0.013384453218533354	PO
8.700000000000001	0.012740226769492229	PO
8.8	0.01212660682797296	PO
8.9	0.01154217804391343	PO
9	0.010985586734155627	PO
9.1	0.01045553857536254	PO
9.200000000000001	0.009950796342796482	PO
9.3	0.009470177699065331	PO
9.4	0.009012553036139183	PO
9.5	0.008576843373232933	PO
9.600000000000001	0.00816201831252917	PO
9.700000000000001	0.0077670940541725445	PO
9.8	0.007391131471492161	PO
9.9	0.007033234246995943	PO
10	0.006692547069322982	PO
